jud,win,loss,1052-1,1052-2,judfile,1052-1-1,1052-1-2,1052-1-3,1052-1-4,1052-1-5,1052-1-6,1052-1-7,1052-1-8,1052-1-9,1052-1-10,1052-2-A,1052-2-B,1052-2-C,1052-2-D,1052-2-E,1052-2-F,1052-2-G
臺灣嘉義地方法院 101 年度 婚 字第 234 號民事判決,1,0,1,1,jud101,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
臺灣嘉義地方法院 101 年度 婚 字第 242 號民事判決,0,1,0,1,jud101,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
臺灣嘉義地方法院 101 年度 婚 字第 246 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 101 年度 婚 字第 249 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 101 年度 婚 字第 27 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 101 年度 婚 字第 28 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 101 年度 婚 字第 281 號民事判決,0,1,0,1,jud101,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
臺灣嘉義地方法院 101 年度 婚 字第 29 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 101 年度 婚 字第 300 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 101 年度 婚 字第 319 號民事判決,0,1,1,1,jud101,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
臺灣嘉義地方法院 101 年度 婚 字第 325 號民事判決,1,0,0,1,jud101,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
臺灣嘉義地方法院 101 年度 婚 字第 33 號民事判決,1,0,1,1,jud101,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
臺灣嘉義地方法院 101 年度 婚 字第 34 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 101 年度 婚 字第 35 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 101 年度 婚 字第 37 號民事判決,1,0,1,1,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 101 年度 婚 字第 38 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 101 年度 婚 字第 40 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 101 年度 婚 字第 43 號民事判決,1,0,0,1,jud101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 101 年度 婚 字第 45 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 101 年度 婚 字第 47 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 101 年度 婚 字第 49 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 101 年度 婚 字第 50 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 101 年度 婚 字第 54 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 101 年度 婚 字第 55 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 101 年度 婚 字第 57 號民事判決,1,0,1,1,jud101,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
臺灣嘉義地方法院 101 年度 婚 字第 58 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 101 年度 婚 字第 61 號民事判決,1,0,1,1,jud101,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
臺灣嘉義地方法院 101 年度 婚 字第 63 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 101 年度 婚 字第 64 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 101 年度 婚 字第 67 號民事判決,1,0,1,1,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 101 年度 婚 字第 69 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 101 年度 婚 字第 74 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 101 年度 婚 字第 76 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 101 年度 婚 字第 77 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 101 年度 婚 字第 78 號民事判決,1,0,0,1,jud101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 101 年度 婚 字第 82 號民事判決,1,0,1,1,jud101,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 101 年度 婚 字第 87 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 101 年度 婚 字第 88 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 101 年度 婚 字第 89 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 101 年度 婚 字第 95 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 101 年度 婚 字第 97 號民事判決,1,0,1,1,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 100 年度 婚 字第 103 號民事判決,1,0,1,1,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 100 年度 婚 字第 106 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 100 年度 婚 字第 11 號民事判決,1,0,0,1,jud101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 100 年度 婚 字第 128 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 100 年度 婚 字第 134 號民事判決,1,0,1,1,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 100 年度 婚 字第 139 號民事判決,1,0,0,1,jud101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 100 年度 婚 字第 140 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 100 年度 婚 字第 142 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 100 年度 婚 字第 145 號民事判決,1,0,1,1,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
臺灣基隆地方法院 100 年度 婚 字第 147 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 100 年度 婚 字第 151 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 100 年度 婚 字第 153 號民事判決,1,0,1,1,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 100 年度 婚 字第 156 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 100 年度 婚 字第 160 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 100 年度 婚 字第 163 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 100 年度 婚 字第 179 號民事判決,1,0,1,1,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 100 年度 婚 字第 183 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 100 年度 婚 字第 186 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 100 年度 婚 字第 187 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 100 年度 婚 字第 190 號民事判決,1,0,1,1,jud101,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 100 年度 婚 字第 192 號民事判決,1,0,0,1,jud101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 100 年度 婚 字第 193 號民事判決,1,0,0,1,jud101,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
臺灣基隆地方法院 100 年度 婚 字第 194 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 100 年度 婚 字第 200 號民事判決,0,1,1,1,jud101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 100 年度 婚 字第 201 號民事判決,1,0,1,1,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 100 年度 婚 字第 203 號民事判決,1,0,0,1,jud101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 100 年度 婚 字第 204 號民事判決,1,0,1,1,jud101,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
臺灣基隆地方法院 100 年度 婚 字第 206 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 100 年度 婚 字第 210 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 100 年度 婚 字第 212 號民事判決,1,0,1,1,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 100 年度 婚 字第 214 號民事判決,1,0,1,1,jud101,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 100 年度 婚 字第 222 號民事判決,1,0,0,1,jud101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 100 年度 婚 字第 230 號民事判決,1,0,0,1,jud101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 100 年度 婚 字第 233 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 100 年度 婚 字第 235 號民事判決,1,0,0,1,jud101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 100 年度 婚 字第 236 號民事判決,1,0,0,1,jud101,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
臺灣基隆地方法院 100 年度 婚 字第 238 號民事判決,1,0,1,1,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 100 年度 婚 字第 246 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 100 年度 婚 字第 249 號民事判決,1,0,0,1,jud101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 100 年度 婚 字第 255 號民事判決,0,1,1,1,jud101,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
臺灣基隆地方法院 100 年度 婚 字第 258 號民事判決,0,1,1,1,jud101,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 100 年度 婚 字第 34 號民事判決,1,0,1,0,jud101,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
臺灣基隆地方法院 100 年度 婚 字第 37 號民事判決,1,0,1,1,jud101,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
臺灣基隆地方法院 100 年度 婚 字第 48 號民事判決,1,0,0,1,jud101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 100 年度 婚 字第 51 號民事判決,1,0,0,1,jud101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 100 年度 婚 字第 60 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 100 年度 婚 字第 70 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 100 年度 婚 字第 78 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 101 年度 婚 字第 11 號民事判決,1,0,1,0,jud101,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 101 年度 婚 字第 113 號民事判決,1,0,0,1,jud101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 101 年度 婚 字第 114 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 101 年度 婚 字第 122 號民事判決,1,0,0,1,jud101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 101 年度 婚 字第 125 號民事判決,1,0,0,1,jud101,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
臺灣基隆地方法院 101 年度 婚 字第 127 號民事判決,1,0,0,1,jud101,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
臺灣基隆地方法院 101 年度 婚 字第 131 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 101 年度 婚 字第 133 號民事判決,1,0,0,1,jud101,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
臺灣基隆地方法院 101 年度 婚 字第 135 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 101 年度 婚 字第 141 號民事判決,1,0,1,0,jud101,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 101 年度 婚 字第 144 號民事判決,1,0,0,1,jud101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 101 年度 婚 字第 147 號民事判決,1,0,0,1,jud101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 101 年度 婚 字第 157 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 101 年度 婚 字第 160 號民事判決,1,0,0,1,jud101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 101 年度 婚 字第 17 號民事判決,1,0,0,1,jud101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 101 年度 婚 字第 175 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 101 年度 婚 字第 21 號民事判決,1,0,1,1,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 101 年度 婚 字第 26 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 101 年度 婚 字第 28 號民事判決,1,0,0,1,jud101,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
臺灣基隆地方法院 101 年度 婚 字第 31 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 101 年度 婚 字第 33 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 101 年度 婚 字第 36 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 101 年度 婚 字第 37 號民事判決,1,0,1,1,jud101,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
臺灣基隆地方法院 101 年度 婚 字第 38 號民事判決,1,0,1,1,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 101 年度 婚 字第 39 號民事判決,1,0,0,1,jud101,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
臺灣基隆地方法院 101 年度 婚 字第 41 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 101 年度 婚 字第 44 號民事判決,1,0,1,1,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
臺灣基隆地方法院 101 年度 婚 字第 45 號民事判決,1,0,1,1,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 101 年度 婚 字第 61 號民事判決,1,0,0,1,jud101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 101 年度 婚 字第 62 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 101 年度 婚 字第 71 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 101 年度 婚 字第 72 號民事判決,1,0,0,1,jud101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
臺灣基隆地方法院 101 年度 婚 字第 75 號民事判決,1,0,0,1,jud101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 101 年度 婚 字第 79 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 101 年度 婚 字第 80 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 101 年度 婚 字第 83 號民事判決,1,0,0,1,jud101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 101 年度 婚 字第 89 號民事判決,1,0,0,1,jud101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 101 年度 婚 字第 91 號民事判決,1,0,1,1,jud101,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 101 年度 婚 字第 94 號民事判決,1,0,0,1,jud101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
臺灣基隆地方法院 101 年度 婚 字第 96 號民事判決,0,1,1,1,jud101,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
臺灣基隆地方法院 101 年度 婚 字第 97 號民事判決,1,0,0,1,jud101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
臺灣士林地方法院 100 年度 婚 字第 102 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣士林地方法院 100 年度 婚 字第 112 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣士林地方法院 100 年度 婚 字第 127 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣士林地方法院 100 年度 婚 字第 129 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣士林地方法院 100 年度 婚 字第 137 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣士林地方法院 100 年度 婚 字第 151 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣士林地方法院 100 年度 婚 字第 158 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣士林地方法院 100 年度 婚 字第 159 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣士林地方法院 100 年度 婚 字第 162 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣士林地方法院 100 年度 婚 字第 163 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣士林地方法院 100 年度 婚 字第 170 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣士林地方法院 100 年度 婚 字第 179 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣士林地方法院 100 年度 婚 字第 185 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣士林地方法院 100 年度 婚 字第 191 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣士林地方法院 100 年度 婚 字第 20 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣士林地方法院 100 年度 婚 字第 202 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣士林地方法院 100 年度 婚 字第 204 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣士林地方法院 100 年度 婚 字第 207 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣士林地方法院 100 年度 婚 字第 21 號民事判決,1,0,0,1,jud101,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
臺灣士林地方法院 100 年度 婚 字第 215 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣士林地方法院 100 年度 婚 字第 216 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣士林地方法院 100 年度 婚 字第 219 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣士林地方法院 100 年度 婚 字第 225 號民事判決,1,0,1,1,jud101,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
臺灣士林地方法院 100 年度 婚 字第 226 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣士林地方法院 100 年度 婚 字第 237 號民事判決,1,0,1,0,jud101,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
臺灣士林地方法院 100 年度 婚 字第 242 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣士林地方法院 100 年度 婚 字第 244 號民事判決,1,0,1,1,jud101,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
臺灣士林地方法院 100 年度 婚 字第 256 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣士林地方法院 100 年度 婚 字第 261 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣士林地方法院 100 年度 婚 字第 264 號民事判決,1,0,0,1,jud101,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
臺灣士林地方法院 100 年度 婚 字第 280 號民事判決,1,0,0,1,jud101,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
臺灣士林地方法院 100 年度 婚 字第 283 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣士林地方法院 100 年度 婚 字第 285 號民事判決,1,0,1,1,jud101,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
臺灣士林地方法院 100 年度 婚 字第 287 號民事判決,1,0,1,0,jud101,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
臺灣士林地方法院 100 年度 婚 字第 292 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣士林地方法院 100 年度 婚 字第 307 號民事判決,1,0,1,1,jud101,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
臺灣士林地方法院 100 年度 婚 字第 316 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣士林地方法院 100 年度 婚 字第 318 號民事判決,0,1,1,1,jud101,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
臺灣士林地方法院 100 年度 婚 字第 319 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣士林地方法院 100 年度 婚 字第 322 號民事判決,1,0,1,1,jud101,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
臺灣士林地方法院 100 年度 婚 字第 323 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣士林地方法院 100 年度 婚 字第 324 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣士林地方法院 100 年度 婚 字第 329 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣士林地方法院 100 年度 婚 字第 334 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣士林地方法院 100 年度 婚 字第 337 號民事判決,1,0,1,0,jud101,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
臺灣士林地方法院 100 年度 婚 字第 340 號民事判決,0,1,1,1,jud101,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
臺灣士林地方法院 100 年度 婚 字第 351 號民事判決,1,0,1,0,jud101,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
臺灣士林地方法院 100 年度 婚 字第 355 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣士林地方法院 100 年度 婚 字第 356 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣士林地方法院 100 年度 婚 字第 357 號民事判決,1,0,1,0,jud101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
