jud,win,loss,1052-1,1052-2,judfile,1052-1-1,1052-1-2,1052-1-3,1052-1-4,1052-1-5,1052-1-6,1052-1-7,1052-1-8,1052-1-9,1052-1-10,1052-2-A,1052-2-B,1052-2-C,1052-2-D,1052-2-E,1052-2-F,1052-2-G
臺灣嘉義地方法院 100 年度 婚 字第 112 號民事判決,1,0,0,1,jud100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 118 號民事判決,1,0,1,1,jud100,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 119 號民事判決,1,0,1,1,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 122 號民事判決,1,0,1,1,jud100,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 124 號民事判決,1,0,1,0,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 126 號民事判決,1,0,1,1,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 128 號民事判決,1,0,1,0,jud100,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 129 號民事判決,1,0,1,0,jud100,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 13 號民事判決,1,0,1,0,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 130 號民事判決,1,0,1,1,jud100,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 131 號民事判決,1,0,1,0,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 132 號民事判決,0,1,0,1,jud100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 138 號民事判決,0,1,1,0,jud100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 139 號民事判決,1,0,0,1,jud100,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
臺灣嘉義地方法院 100 年度 婚 字第 142 號民事判決,1,0,1,1,jud100,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 143 號民事判決,1,0,1,1,jud100,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 144 號民事判決,1,0,1,1,jud100,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
臺灣嘉義地方法院 100 年度 婚 字第 145 號民事判決,0,1,0,1,jud100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 150 號民事判決,1,0,1,0,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 152 號民事判決,1,0,1,0,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 154 號民事判決,0,1,1,0,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 158 號民事判決,1,0,0,1,jud100,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 16 號民事判決,1,0,1,0,jud100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 164 號民事判決,1,0,1,1,jud100,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
臺灣嘉義地方法院 100 年度 婚 字第 168 號民事判決,1,0,0,1,jud100,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 170 號民事判決,1,0,1,0,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 172 號民事判決,1,0,0,1,jud100,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 174 號民事判決,1,0,1,0,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 177 號民事判決,1,0,1,0,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 178 號民事判決,1,0,1,0,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
